A lot	ᏥᏍᏈᏍᏓ	[tsgwisda] /rrd/
Sun drop	ᎠᎾᏓᏥ	[andaːtsi] /rrd/
Sun perch	ᎤᎪᎸ	[ugoːlv] /rrd/
Sunday	ᏙᏓᏆᏍᎬᎢ	[doːdagwaːsgvʔi] /rrd/
Sunflower	ᏅᏓᏗᎧᏂ	[nvːdaːdiːkaːni] /rrd/
Surrendering	ᎠᏓᏲᏍᎦ	[adahyohsga] /rrd/
Surrounding it	ᎠᏯᏕᏴᏍᏗᎭ	[ayaːdehysdiha] /rrd/
Sus	ᏏᏆ	[sikwa] /rrd/
Swallowing it	ᎠᎩᏍᎦ	[akiːhsga] /rrd/
Swamp lily	ᎧᎾᎫᏣᏘ	[kaːhnguːtsati] /rrd/
Sweater	ᎦᏌᎴᎾ	[gaːsaleːna] /rrd/
Sweating	ᎦᎵᎠᎦᎢᎭ	[gaʔliʔaːgaʔiːha] /rrd/
Sweeping	ᎬᏃᏌᏍᎦ	[gvnoːsaːsga] /rrd/
Sweet birch	ᎠᏨᎩ ᎤᎦᎾᏍᏓ	[aʔtsvːgi uganaːsd] /rrd/
Sweet bugleweed	ᎠᏂᏬᏂᏍᎩ	[aniːwoʔnihsgi] /rrd/
Sweet potato	ᏄᎾ ᎤᏂᎦᎾᏍᏓ	[nuna uniːganasda] (es) /rrd/
Sweet white violet	ᏗᎾᏓᏍᏓᏍᎩ ᎤᏂᏁᎦ	[diːhndaːsdaːsgi unineːga] /rrd/
Sweetflag	ᎤᏲᏓᎵ	[uyoːdaːhli] /rrd/
Swelling	ᎪᏘᏍᎦ	[ktiːsga] /rrd/
Swift water	ᎪᎵᏍᏓᏴᎢ	[golisdaːyvʔi] /rrd/
Swimming	ᎠᏓᏬᎠ	[adawóːʔa] /rrd/
Swimming along	ᎠᏳᎢᏂ	[ahyuʔiːni] /rrd/
Swinging it	ᎠᎵᏖᎸᏂᎭ	[ahlteːlv́ːhniha] /rrd/
Sycamore	ᎫᏫᏳᎦᏍᏗ	[kuːhwiːyugsdi] /rrd/
Sylva, NC	ᏏᎳᏉ	[siːlagwo] /rrd/
Sylvilagus floridanus	ᏥᏍᏚ	[tsisdu] /rrd/
Table	ᎦᏍᎩᎸᎢ	[gasgilvʔi] /rrd/
Taboo	ᎦᎦᏛᏓ	[gaktvːda] /rrd/
Tadpole	ᏗᎩᏥ	[digitsi] /rrd/
Taking a step	ᎠᎳᏍᎬᎠ	[alasgvːʔa] /rrd/
Taking it	ᎦᏁᎩᎡᎭ	[ganeːgíʔeːha] (a liquid) from him /rrd/
Taking it	ᎬᏛᎩᎠ	[gvːtvːgiʔa] (something flexible) from a fire /rrd/
Taking it down	ᎠᏙᏏᏏᎭ	[ahtoːsiːhsiha] (from a hanger) (something long) /rrd/
Taking it down	ᎦᏓᎩᎠ	[gadʔagiʔa] (something alive) /rrd/
Taking it down	ᎦᏓᎩᎠ	[gadʔagiʔa] (something flexible) /rrd/
Taking it down	ᎦᏓᎩᎠ	[gadʔagiʔa] (something solid) /rrd/
Taking it from a liquid	ᎠᎱᏱᏏᎭ	[ahuːyísiha] (something long) /rrd/
Taking it from a liquid	ᎫᎩᎠ	[guːgiʔa] (something solid) /rrd/
Taking it from him	ᎦᎾᎩᎡᎭ	[ganagiʔeːha] (something flexible) or (something alive) /rrd/
Taking it from him	ᎠᏴᎡᎭ	[ayvːeha] (something long) /rrd/
Taking it from him	ᎠᎩᎡᎭ	[agiːʔeha] (something solid) /rrd/
Taking it off a fire	ᎠᎲᏓᎩᎠ	[ahvːdagíʔa] (something long) /rrd/
Taking it off of a fire	ᎬᏓᎩᎠ	[gvːdagiʔa] (something solid) /rrd/
Taking it to him	ᎠᎧᏁᎵ	[akaːneːli] (something alive) /rrd/
Taking it to him	ᎠᏴᎡᎭ	[ayvːʔeha] (something liquid) /rrd/
Taking it to him	ᎠᏅᎡᎭ	[aːnvːʔeha] (something solid or something flexible) /rrd/
Taking it to him	ᎠᏴᎡᎭ	[ayvːʔeha] (something solid) /rrd/
Taking liquid from liquid	ᎠᎫᎩᎠ	[aguːgiːʔa] /rrd/
Taking off a ring	ᎠᎵᏰᏑᏍᏓᎩᎠ	[aliːyeːsuːsdagíʔa] /rrd/
Taking off flying	ᎠᎳᏫᏗᎭ	[ahlawíːdiha] /rrd/
Taking off his pants	ᎠᏑᎳᎩᎠ	[ahsuːlagiːʔa] /rrd/
Taking off his shirt	ᎠᎿᏬᎩᎠ	[aːhnawogiʔa] /rrd/
Taking off running	ᎠᎵᏗᎩᎠ	[ahlidgiʔa] /rrd/
Taking off shoes	ᏓᎳᏑᎳᎩᎠ	[daːlaːsuːlagíʔa] /rrd/
Taking off socks	ᏓᎵᏯᎩᎠ	[daːliyagíʔa] /rrd/
Taking revenge	ᎤᏤᎦ	[uːtséːga] /rrd/
Taking revenge on him	ᎠᏤᏤᎭ	[atséːtsheha] /rrd/
Taking someone along	ᎠᏘᏂ	[ahtiːhni] /rrd/
Talking	ᎦᏬᏂᎭ	[gawoːniha] /rrd/
Talking to him	ᎨᎷᏂ	[geːlúhni] /rrd/
Tall	ᎢᎾ ᎢᎦᏗ	[iːn iːgadi] /rrd/
Tall	ᎢᏂᎦᏗ	[iːniːgadi] /rrd/
Tall and skinny	ᎦᎸᏙᎵ	[galvːdoːhli] /rrd/
Tall height	ᎢᏂ ᎢᎦᏗ	[iːn iːgadi] /rrd/
Tame	ᎦᎾᏌ	[gaʔnasa] /rrd/
Tamias striatus	ᎩᏳᎦ	[kiyuːga] /rrd/
Tape recorder	ᎦᏬᏂᏒ ᎠᎩᏍᎩ	[gawoːnisv agiːsgi] /rrd/
Teacher	ᏗᏕᏲᎲᏍᎩ	[diːdeːhyohvsgi] /rrd/
Teaching	ᏓᏕᏲᎲᏍᎦ	[daːdeːhyoːhvːsga] /rrd/
Teaching	ᏕᎨᏲᎲᏍᎦ	[deːgehyohvːsga] /rrd/
Teasing him	ᎠᎵᏌᎵᎭ	[ahlsaliha] /rrd/
Telephone	ᏗᎵᏃᎮᏗ	[diːhlinoheːhdi] /rrd/
Telephoning	ᎧᎸᏛᏂᎠ	[kalvːdvːniʔa] /rrd/
Telephoning	ᏓᎵᏃᎮᎭ	[daːhlinoheːha] /rrd/
Telephoning	ᎦᎸᏛᏂᎭ	[galvːdv́ʔniːha] (idiom) /rrd/
Television	ᎠᎾᏓᏴᏔᏍᎩ	[andayvːtahsgi] /rrd/
Telling it	ᎧᏃᎮᎭ	[kanoheːha] /rrd/
Ten	ᏍᎪᎯ	[sgoːhi] /rrd/
Tennessee	ᏔᎾᏏ	[taːnsi] /rrd/
Terrapene carolina	ᏓᎦᏏ	[daːgsi] /rrd/
Terrapin	ᏓᎦᏏ	[daːgsi] /rrd/
Testicle	ᎤᎪᏅ	[uːkohnv] (his) /rrd/
Thamnophis spp	ᎣᏛᎳᏘᎢ	[odvːhlaʔtiʔi] /rrd/
Thanking him	ᎠᎵᎮᎵᏤᎭ	[aliheːliʔtsheha] /rrd/
Thanks	ᏍᎩ	[sgi] /rrd/
Thanks	ᏩᏓ	[wada] /rrd/
That	ᏍᎩ	[sgi] /rrd/
That much	ᏍᎩᎦ	[sgiːga] /rrd/
That so?	ᏍᎩᏕᎦ	[sgiːdega] /rrd/
That's the one	ᏍᎩᎾᏂ	[sginaːhni] /rrd/
That?	ᏍᎩᏄᏍᏗᎢ	[sgiʔnusdi] /rrd/
Thawing it out	ᎦᏁᏍᏓᎳᎩᎠ	[ganeːsdalgíʔa] /rrd/
There	ᎭᎾ	[hana] /rrd/
There	ᎾᏉ	[naːgwo] /rrd/
Thick	ᎤᎭᎨᏓ	[uhageːda] /rrd/
Thicket	ᏌᎷᏱ	[saluːyi] /rrd/
Thigh	ᎦᎦᎷᎢ	[gagaluʔi] (his) /rrd/
Thinking	ᎠᏓᏅᏖᎭ	[adahnteha] /rrd/
Thinking that	ᎡᎵᎠ	[eːliʔa] /rrd/
Thirsty	ᎤᏔᏕᎩᎠ	[uːhtadeːgiʔa] /rrd/
Thirteen	ᏦᎦᏚᎯ	[tsoːgaduhi] /rrd/
Thirteen months	ᏦᎦᏚ ᎢᏯᏅᏓ	[tsogadu iyanvːda] (a traditional year) /rrd/
Thirty	ᏦᎣᏍᎪᎯ	[tsoʔosgoːhi] /rrd/
This	ᎯᎠ	[hiʔa] /rrd/
This is	ᎯᎠᏃᏄᏍᏗ	[hiʔaːhnoʔnusdi] /rrd/
This much	ᎯᎦ	[hiʔga] /rrd/
This one	ᎯᎠ	[hiʔa] /rrd/
This way	ᎯᎢᏨ	[hiʔiːtsv] /rrd/
Thorny locust	ᎧᎵᏎᏥ	[kaːhlseːtsi] /rrd/
Threading a needle	ᎦᏌᏁᏅᏛᎥᏍᎦ	[gasanéːndvʔvːsga] /rrd/
Three	ᏦᎢ	[tsoʔi] /rrd/
Throat	ᎤᎩᎯᏍᏗᏳ	[uːkihisdiːyu] (his) /rrd/
Throwing it	ᎤᏕᎦ	[uːdeːga] /rrd/
Thryothorus ludovicianus	ᎠᎵᏔᎹ	[alihtama] /rrd/
Thunder	ᎠᏴᏓᏆᎶᏍᎩ	[ahyvːdagwaloʔsgi] /rrd/
Thundering	ᎠᏴᏓᏆᎶᎠ	[ahyvːdagwalóːʔa] /rrd/
Thursday	ᏅᎩᏁ ᎢᎦ	[nvːgine iːga] /rrd/
Tick	ᎫᎫ	[guːgu] /rrd/
Tickling him	ᏓᏴᎩᎠ	[dàːyv́ːgiʔa] /rrd/
Tightening it	ᎦᏅᏐᎯᎭ	[ganvːsóhiha] /rrd/
Timber rattlesnake	ᎤᏦᎾᏗ	[uːtsoːnadi] /rrd/
Timber rattlesnake, male	ᎠᏨᏯ ᎤᏦᏅᏗ	[atsvya utsoːnvdi] /rrd/
Time	ᎢᏳᏩᏂᎸᎯ	[iːyuwaːhnilvhi] /rrd/
Tin	ᏔᎷᎩᏍᎩ	[taluːgiːsgi] /rrd/
Tin can	ᏔᎷᎩᏍᎩ	[taluːgiːsgi] /rrd/
Tired	ᏚᏯᏪᎦ	[duːyawéːga] /rrd/
To be able to	ᏰᎵᏉ	[yeːliːgwo] /rrd/
Toad	ᏩᎶᏏ	[waloːsi] /rrd/
Tobacco	ᏦᎳ	[tsoːla] /rrd/
Tobacco, plug of	ᏦᎳ ᎠᏍᏓᏯᏔᏅᎯ	[tsoːla asdayhtanvhi] /rrd/
Tobacco, twist of	ᏦᎳ ᎦᏄᏕᏲᎸᎯ	[tsoːla ganuːdeːyoːhlvhi] /rrd/
Toe	ᎦᎾᏌᏛᎢ	[ganasadvʔi] /rrd/
Toe nail	ᎤᏑᎧᎸᎢ	[uːsuhgahlvʔi] (his) /rrd/
Together in a group.	ᎤᎾᎵᎪᎭ	[uːnaːligoha] (Note, this verb can only appear with dual or plural pronouns.) (they are) /rrd/
Toilet paper	ᎠᏑᎴᏙᏗ	[asuːhldoːhdi] /rrd/
Tomato	ᎤᏂᏁᎫᎯᏍᏗ	[uniːneːguhihsdi] (es) /rrd/
Tomorrow	ᏑᎾᎴᎢ	[suːnaːleʔi] /rrd/
Tomorrow night	ᏑᎾᎴ ᎤᏒᎯ	[suːnaːle usvhi] /rrd/
Tongue	ᎦᏂᎪᎢ	[gangoʔi] (his) /rrd/
Tonight	ᎤᏒᎯ	[usvːhi] /rrd/
Tonight	ᎯᎪ ᎤᏒᎯ	[hiːgo usvhi] /rrd/
Too hard	ᏍᏓᏱ	[sdaːhyi] /rrd/
Tooth	ᎦᏅᏙᎦ	[gandohga] (his) /rrd/
Toothache	ᎤᏳᏍᏆᏗᏍᎬᎢ	[uːyusgwadisgvʔi] (his) /rrd/
Touching it	ᎠᏒᏂᎭ	[ahsv́hniha] /rrd/
Towards	ᎢᏣ	[iːtsa] /rrd/
Towhee	ᏧᏬᏍᎦ	[tsuwoːsga] /rrd/
Town at a distance	ᏗᎦᏚᎲᏱ	[digaːduhvʔy] /rrd/
Toxicodendron radicans	ᎤᎸᏗ	[uːlvːdʔi] /rrd/
Toxostoma rufum	ᏩᏚᏰᎳ	[waduyeːla] /rrd/
Tracking him	ᎨᎷᏂ	[geːlúhni] /rrd/
Tradescantia virginiana	ᏔᏆᎵ	[taːgwaːli] /rrd/
Trading	ᎠᏓᏍᏕᏓᎵᏴᎡᎭ	[adahsdeːdaliyvʔeːha] /rrd/
Translating it	ᎠᏁᏥᏗᎭ	[aːhneːtsdiha] /rrd/
Transparent	ᎤᎸᏌᏘ	[uːlvhsati] /rrd/
Trapping	ᎠᏌᏛᎥᏍᎦ	[ahsadvʔvhsga] /rrd/
Traveling	ᎠᏁᎳᏗᎠ	[ahneːladiʔa] /rrd/
Treacleberry	ᎤᏗᎵᏍᏗ	[udihlisdi] /rrd/
Treating him	ᏄᏮᎾᏕᎦ	[nuːhwvnadeːga] (specify: bad or good) /rrd/
Treatment	ᏗᏓᏅᏬᏙᏗ	[diːdaːhnvwoːhdoːhdi] (medical) /rrd/
Trembling	ᎤᎾᏫᎠ	[uːnaːwiʔa] /rrd/
Try	ᎦᏁᎵᏗᎭ	[ganeːhldiha] /rrd/
Tsuga caroliniana	ᏃᏄ	[noːnu] /rrd/
Tuberculosis	ᎤᎬᎲᎣᎵᏗ	[ukvhvohldi] /rrd/
Tuesday	ᏔᎵᏁ	[taːline] /rrd/
Tufted titmouse	ᎤᏧᎩ	[utsuːgi] /rrd/
Tumbling it end over end	ᏕᎦᏁᏍᏆᏘᏗᎭ	[deːganěːhsgwatdiha] /rrd/
Turdus migratorius	ᏥᏍᏉᏉ	[tsiːsgwoːgwo] /rrd/
Turk's cap lily	ᎧᎾᎫᏣᏘ	[kaːhnguːtsati] /rrd/
Turkey	ᎬᎾ	[kvːna] /rrd/
Turkey vulture	ᏑᎵ	[suːli] /rrd/
Turning	ᎠᎦᏔᎲᎠ	[aktahvʔa] /rrd/
Turning it around	ᎠᎪᎸᎠ	[agóːhlvʔa] /rrd/
Turning loose	ᎤᏲᏍᎦ	[uːyoːsga] /rrd/
Turning off a light	ᎬᏓᎵᏗᎠ	[gvdáʔldiʔa] /rrd/
Turning on a light	ᎠᏨᏍᏔᏍᎦ	[atsvːhstáhsga] /rrd/
Turning on a light	ᏓᏨᏍᏔᏍᎦ	[daːtsvstǎːhsga] /rrd/
Turnip	ᏙᏌᎾ	[dosana] /rrd/
Turtle dove	ᎫᎴᏗᏍᎪᏂᎯ	[guːleːhdisgoːhnihi] /rrd/
Tuscarora	ᎠᏂᏍᎦᎶᎵ	[aniːsgaloːli] /rrd/
Twelve	ᏔᎳᏚᎯ	[taːhlduhi] /rrd/
Twenty	ᏔᎵᏍᎪᎯ	[taːhlsgoːhi] /rrd/
Twenty-one	ᏔᎵᏍᎪ ᏐᏊ	[taːhlsgo soːgwu] /rrd/
Twins	ᏗᏂᎶᏫ	[diniːhlowi] /rrd/
Twirling it	ᎦᏗᏆᎸᏕᏗᎭ	[gadiːgwalvdeːhdiha] /rrd/
Twisting it	ᎦᏄᏖᏲᎭ	[ganuːteʔyoːha] /rrd/
Two	ᏔᎵ	[taːli] /rrd/
Two hundred	ᏔᎵᏥᏆ	[taːlitsgwa] /rrd/
Tying	ᏓᎧᏁᎯᎭ	[daːkaneːhiha] /rrd/
Tying up	ᎠᎸᎢᎭ	[ahlv́ːiha] /rrd/
Tyrannus tyrannus	ᏗᎴᏆ	[dileːgwa] /rrd/
Uganahsda	ᎤᎦᎾᏍᏓ	[uganasda] /rrd/
Ugly	ᎤᏲ ᏗᎧᎾᏘ	[uyo dikaːhndi] /rrd/
Ulcer	ᎦᏬᏍᎬ	[gawoːsgv] /rrd/
Ulmus spp	ᏧᎩᏅ	[tsuʔgiːnv] /rrd/
Unable to do it	ᎤᏄᎸᎲᏍᎦ	[uːnúːlvhvhsga] /rrd/
Unable to find	ᎤᏦᎦ	[uːtsoːga] /rrd/
Uncle	ᎤᏚᏥ	[uːduːtsi] (his) /rrd/
Uncovering it	ᎫᏌᎩᎠ	[guːsagíʔa] /rrd/
Under	ᎰᏫᏂᏣ	[howiːniːtsa] /rrd/
Under the house	ᎦᏂᏒᏱ	[ganíʔsvːyi] /rrd/
Understanding it	ᎪᎵᎦ	[goːlhga] /rrd/
Undressing	ᎠᎿᏬᎩᎠ	[aːhnawogiʔa] /rrd/
Unplugging it	ᎫᏓᎳᎩᎠ	[gudaːlagiʔa] /rrd/
Unravelling	ᎠᏛᎩᎠ	[aːdvgíʔa] /rrd/
Unravelling it	ᎬᎩᎠ	[gvgíʔa] /rrd/
Unripe	ᎠᎪᏍᏗ	[agoːsdi] /rrd/
Until	ᎢᎪᎯᏛ	[iːgohiːdv] /rrd/
Unwinding it	ᎦᎸᏪᏯᎩᎠ	[galvːweːyagíʔa] /rrd/
Up the mountain	ᎦᏚᏏ	[gaːduːsi] /rrd/
Upper back	ᎦᏐᎯᎢ	[gasohiʔi] (his) /rrd/
Upstairs	ᎦᎸᎳᏗ	[galv́ːladi] /rrd/
Upstream	ᏦᎩ	[tsoːgi] /rrd/
Upward	ᎦᎸᎳᏗᏣ	[galvːladitsa] /rrd/
Urging him	ᎦᏂᎵᏕᎭ	[ganíːlʔdeːha] /rrd/
Urging him	ᎦᏅᏫᏍᏗᎭ	[gaːhnvwsdiha] /rrd/
Urinating	ᎠᏗᎬᎠ	[adíːkvʔa] /rrd/
Urocyon cinereoargenteus	ᏧᎳ ᏌᎪᏂᎨ	[tsuːla sakoːnige] /rrd/
Ursus americanus	ᏲᎾ	[yoːna] /rrd/
Using	ᎬᏗ	[gvːhdi] /rrd/
Using it	ᎬᏗᎭ	[gvːhdiha] /rrd/
Uttering it	ᏂᎦᏪᎠ	[nigaweʔa] /rrd/
Uvularia sessilifolia	ᏧᏍᎦ ᏓᎶᏗ	[tsuːsga dalóːhdi] /rrd/
Vagina	ᎤᎴᏍᏓᎸᎢ	[uːleːsdahlvːʔi] (her) /rrd/
Value	ᏧᎬᏩᎶᏗ	[tsuːgvːwaːhldi] /rrd/
Veins	ᏧᏩᏚᏂ	[tsuwaduːni] (his) /rrd/
Velvet	ᏛᏁᏈᏳᏍᏗ ᎠᎿᏬ	[tvneːgwiyusdi aːhnawo] /rrd/
Vendor	ᎦᎾᏗᏍᎩ	[gandisgi] /rrd/
Venison	ᎠᎭᏫᏯ	[ahawiːya] /rrd/
Veratrum viride	ᎠᏍᏋᏁᏓ	[asgwvneːda] /rrd/
Very	ᎤᏙᏳ	[udoːhyuː] /rrd/
Very good	ᎣᏏᏳ	[oːsiːyu] /rrd/
Vespula maculifrons	ᏣᎦᏱ	[tsgaːyʔi] /rrd/
Vial	ᎫᎫ	[guːgu] /rrd/
Vine, to be on	ᎱᏓ	[huːda] /rrd/
Viola blanda	ᏗᎾᏓᏍᏓᏍᎩ ᎤᏂᏁᎦ	[diːhndaːsdaːsgi unineːga] /rrd/
Viola sororia	ᏗᎾᏓᏍᏓᏍᎩ	[diːhndaːsdaːsgi] /rrd/
Violets	ᎠᎾᏓᏍᏓᏍᎩ	[anadaːsdaːsgi] /rrd/
Vireo	ᏧᏕᏒᎾᎵ	[tsudeːsvnaːli] /rrd/
Vireo olivaceus	ᏧᏕᏒᎾᎵ	[tsudeːsvnaːli] /rrd/
Virginia	ᏩᏥᏂ	[waːtsini] /rrd/
Virginia spiderwort	ᏔᏆᎵ	[taːgwaːli] /rrd/
Virginia Strawberry	ᎠᏂ	[aːni] /rrd/
Virginia water horehound	ᎠᏂᏬᏂᏍᎩ	[aniːwoʔnihsgi] /rrd/
Virginians	ᎠᏂᏩᏥᏂ	[aniːwaːtsiːni] /rrd/
Viscum album	ᎤᏓᎵ	[udaːhli] /rrd/
Visiting	ᎠᏩᏛᎯᏙᎭ	[ahwahtvhiːdoːha] /rrd/
Vitis aestivalis	ᏆᎷᏏ	[kwalúsi] /rrd/
Vitis baileyana	ᎨᎳᏗ	[keːladi] /rrd/
Vitis labrusca	ᎤᏂᏖᎸᎳᏗ	[unitelvːlahdi] /rrd/
Vitis labrusca	ᏖᎸᎳᏗ	[telv́laːdi] /rrd/
Vitis rotundifolia	ᏆᎷᏏ	[kwalúsi] /rrd/
Vote	ᎪᏪᎵ ᏧᏍᏗ	[goːhweːli tsuːsdi] /rrd/
Vulpes spp	ᏧᎳ	[tsuːla] /rrd/
Vulpes vulpes	ᏧᎳ ᎩᎦᎨ	[tsuːla giːgage] /rrd/
Wading	ᎠᏚᎯᏂᏙᎭ	[aduhinidoha] /rrd/
Wait	Ꮟ	[sih] /rrd/
Wait a minute	ᏏᎸᎢ	[silvʔi] /rrd/
Wait a while	ᏏᏎᎦ	[siseːga] /rrd/
Waiting for him, it	ᎠᎦᏘᏯ	[aktiːya] /rrd/
Waking up	ᎠᏰᎦ	[ayéːga] /rrd/
Walking	ᎠᎢ	[aʔi] /rrd/
Walking about	ᎡᏙᎭ	[eːdoha] /rrd/
Walking cane	ᎠᏙᎳᏅᏍᏗ	[adoːlanvhsdi] /rrd/
Walking stick	ᎠᏙᎳᏅᏍᏗ	[adoːlanvhsdi] /rrd/
Walkway	ᎡᏓᏍᏗ	[eːdʔasdi] /rrd/
Wall	ᎦᎾᏑᎦᎸᎢ	[gansuːgaːhlvʔi] /rrd/
Wall paper	ᎭᏯᎦᎸᏛᎢ	[hayaːgalvːdvʔi] /rrd/
Walnut	ᏎᏗ	[seːdi] /rrd/
Wanting it	ᎤᏚᎵᎭ	[uːdúːliha] /rrd/
War	ᎠᏓᏃᏫ	[adaːhnowi] /rrd/
War dance	ᎠᏓᎿᏩ ᎤᎾᎵᏍᎩᏍᏗ	[adaːhnvwa unaːhlsgiːsdi] /rrd/
Warts	ᏩᎶᏏ	[waloːsi] /rrd/
Washing dishes	ᏕᎬᏗᏰᎠ	[deːgvːdíːyeʔa] /rrd/
Washing hair	ᎠᎵᏍᏚᎵᎭ	[ahlsduːliha] /rrd/
Washing his face	ᎠᎬᏍᏉᎠ	[agvhsgwoːʔa] /rrd/
Washing his hands	ᏓᏑᎴᎭ	[daːsúːleːha] /rrd/
Washing it	ᎬᎩᎶᎠ	[gvgiːloʔa] (something alive) /rrd/
Washing it	ᎬᎩᎶᎠ	[kv́giːloʔa] (something flexible) /rrd/
Washing it	ᎫᎢᎶᎠ	[guʔiːloʔa] (something long) /rrd/
Washing it	ᎫᎯᎶᎠ	[gúhiːloʔa] (something solid) /rrd/
Washing machine	ᏗᎬᎩᎣᏍᎩ	[digkiʔoːsgi] /rrd/
Washington, DC	ᎦᎾᏍᏚᎩ	[gaːnsduːgi] /rrd/
Wasp	ᎧᎾᏥᏍᏕᏥ	[kaːntsisdeːtsi] /rrd/
Watching for him, it	ᎠᎦᏘᏯ	[aktiːya] /rrd/
Watching it	ᎠᎧᏎᏍᏗᎭ	[akásehsdiha] /rrd/
Watching over him, it	ᎠᎦᏘᏯ	[aktiːya] /rrd/
Water	ᎠᎹ	[amaː] /rrd/
Water beetle	ᏙᏳᏂᏏ	[doːyuniːsi] /rrd/
Water birch	ᎦᏁᏗᏍᎩ	[ganeːdísgi] /rrd/
Water cress	ᎠᎼ ᎤᎵᏏ	[amo uliːsi] /rrd/
Water fall	ᎠᎹ ᎦᏙᎣᏍᎬᎢ	[am gadoːoʔsgvːʔi] /rrd/
Water faucet	ᎠᎹ ᎠᏍᏚᎩᏍᏗ	[am ahsdugiʔsdi] /rrd/
Water moccasin	ᎧᏁᏉᏓ	[kaneːgwoːda] /rrd/
Water oak	ᏙᎳᏥ	[doːlatsi] /rrd/
Water pipe	ᎠᎹ ᎤᏪᏓᏍᏗ	[am uwedʔasdi] /rrd/
Water that is moving swiftly	ᎪᎵᏍᏓᏴᎢ	[golisdaːyvʔi] /rrd/
Waterdog	ᏧᏩ	[tshuːwa] /rrd/
Watermelon	ᎬᎩᏍᏗ	[gvgiːsdi] /rrd/
Way	ᎠᎬᏱᏗᏣ	[agvːyidiːtsa] (in the) /rrd/
Way off	ᏂᎨᎢ	[nigeːi] /rrd/
Waynesville, NC	ᏐᎩ	[soʔgi] /rrd/
We	ᎠᏴ	[ayvː] /rrd/
Weak	ᎠᏩᏂᎦᎳ	[awaːniːgala] /rrd/
Weak	ᎤᎵᏍᏗ	[uːliːsdi] /rrd/
Weasel	ᏓᎶᏂᎨ ᏥᏍᏕᏥ	[daloːnige tsisdeːtsi] /rrd/
Weaving	ᎬᏍᎦ	[gvːsga] /rrd/
Wedge	ᎦᎭᏗ	[gahaːdi] /rrd/
Wednesday	ᏦᎢᏁ ᎢᎦ	[tsoʔine iːga] /rrd/
Weeds	ᎦᏄᎸᎯ	[ganuːlvhi] /rrd/
Week	ᏑᎾᏙᏓᏆᏍᏗ	[suːndoːdagwasdi] /rrd/
Weeping	ᎠᏥᏲᏱᎭ	[aːdsyóhyiha] /rrd/
Weeping	ᎠᏦᏱᎭ	[atsoːhyiha] /rrd/
Weeping willow	ᏗᎦᎦᎸᏅᎯᏓ	[digaʔgalvːnvhiːda] /rrd/
Welcoming	ᏓᏓᏂᎸᎦ	[daːdaníːlvːga] /rrd/
Well	ᎣᏏ	[oːsi] /rrd/
West	ᏭᏕᎵᎬᎢ	[wuːdeːliːgvʔi] /rrd/
Western Indians	ᏭᏕᎵᎬ ᎠᏁᎯ ᎠᏂᏴᏫᏯ	[wuːdeːliːgv anehi aniːyvːwiya] /rrd/
What	ᎦᏙ	[gado] /rrd/
What	ᏙᎢᏳᏍᏗ	[doʔiːyuhsdi] /rrd/
What can it be	ᏙᏗ ᎢᏳᏍᏗ	[doːdi iːyusdi] /rrd/
Wheat bread	ᎤᏣᎴᏍᏗ	[uːtsaleːsdi] /rrd/
When	ᎲᎦᎢᏴ	[hvːgaʔiːyv] /rrd/
Where  NC version  Used for asking questions only	ᎦᏨ	[gatsv] /rrd/
Where	ᎭᏢ	[hadlv] (Oklahoma) /rrd/
While ago	ᎪᎯ	[goːhi] /rrd/
Whirlpool	ᎠᎹ ᎠᏕᏲᎲᎢ	[am adeːhyohvːʔi] /rrd/
Whiskey	ᏫᏍᎩ	[hwiːsgi] /rrd/
Whistling	ᎠᏩᏒᎭᏍᎦ	[ahwsvhahsga] /rrd/
White	ᎤᏁᎦ	[uːneːga] /rrd/
White pine	ᏙᏥ	[doʔtsi] /rrd/
White violet	ᏗᎾᏓᏍᏓᏍᎩ ᎤᏂᏁᎦ	[diːhndaːsdaːsgi unineːga] /rrd/
White walnut	ᎪᎯ	[koːhi] /rrd/
White willow	ᏗᎳᎦᎵᏍᎩ ᎡᏆ	[dilaːgalisgi eːgwa] /rrd/
White-breasted nuthatch	ᏗᏪᏓᎶᎯ	[diweːdaloːhi] /rrd/
White-tailed deer	ᎠᏫ	[ahwi] /rrd/
Who is it?	ᎧᎩᏳᏍᏗ	[kaːgiyusdi] /rrd/
Who?	ᎧᎪ	[kaːgo] /rrd/
Whooping cough	ᎤᏎᏍᎩ	[uhsehsgi] /rrd/
Whooping crane	ᎧᎾᏍᎦᏫ	[kansgawi] /rrd/
Why	ᏙᏂ	[doʔni] /rrd/
Wide	ᎠᏯᏖᎾ	[ayaːteːna] /rrd/
Wife	ᎤᏍᏓᏴᎲᏍᎩ	[uːsdaːyvhvsgi] (his) /rrd/
Wife	ᎤᏓᎵᎢ	[uːdaliʔíː] (his) /rrd/
Wild	ᎢᎾᎨᎢ	[iːnageːʔi] /rrd/
Wild	ᎨᏯᏔᎯ	[geyatahi] (not tame) /rrd/
Wild allspice	ᏃᏓᏥ	[noːhdatsi] /rrd/
Wild cherry	ᎢᎾᎨ ᎡᎯ ᏔᏯ	[iːnageː ehi taːya] /rrd/
Wild cherry	ᏔᏯ ᎢᎾᎨᎢ	[taːya inageʔi] /rrd/
Wild comfrey	ᎤᏂᏍᏕᎴᏍᏗ	[unisdeleːhsdi] /rrd/
